	date	quantity	goods	goods_cluster	amount	unit	year
6024	12 oktober 1746	39 balen	canneel	kaneel	7800	lb.	1746
6034	12 oktober 1746	3760 lb.	indigo	indigo	3760	lb.	1746
6038	12 oktober 1746	2.250	rijs	rijst	2250		1746
6040	12 oktober 1746	250 lasten	rijs	rijst	625000	lb.	1746
6041	12 oktober 1746	200 lasten	rijs	rijst	500000	lb.	1746
6042	12 oktober 1746	30.000	peper	peper	30000		1746
6044	12 oktober 1746	600.000 lb.	peper	peper	600000	lb.	1746
6047	12 oktober 1746	150 lasten	rijst	rijst	375000	lb.	1746
6054	12 oktober 1746	15 stux	slaven	slaven	15	stuks	1746
6056	12 oktober 1746	22\ thail	slaven	slaven	22		1746
6058	12 oktober 1746	146.250 lb.	peper	peper	146250	lb.	1746
6062	12 oktober 1746	97.600 lb.	peper	peper	97600	lb.	1746
6063	12 oktober 1746	640.012 lb.	peper	peper	640012	lb.	1746
6064	12 oktober 1746	312.500 lb.	thin	thin	312500	lb.	1746
6066	12 oktober 1746	108 thailen	silver	silver	8.1	lb.	1746
6068	12 oktober 1746	7700 picols	thee	thee	962500	lb.	1746
6069	12 oktober 1746	6000 kisten	koper	koper	6000	kisten	1746
6082	12 oktober 1746	300.000 lb.	peper	peper	300000	lb.	1746
6088	12 oktober 1746	300 lasten	rijst	rijst	750000	lb.	1746
6090	12 oktober 1746	70	rijst	rijst	70		1746
6091	12 oktober 1746	120 lasten	rijst	rijst	300000	lb.	1746
6092	12 oktober 1746	465 pakken	foelij	foelij	465	pakken	1746
6103	12 oktober 1746	30.000 lb.	thin	thin	30000	lb.	1746
6114	12 oktober 1746	104 lasten	rijst	rijst	260000	lb.	1746
6115	12 oktober 1746	198 lasten	rijs	rijst	495000	lb.	1746
6116	12 oktober 1746	3053 lasten	rijst	rijst	7632500	lb.	1746
6121	12 oktober 1746	5531 lb.	indigo	indigo	5531	lb.	1746
6138	12 oktober 1746	28.446 lb.	thee	thee	28446	lb.	1746
6207	12 oktober 1746	94 lb.	indigo	indigo	94	lb.	1746
6217	12 oktober 1746	23.026 lb.	thee	thee	23026	lb.	1746
6219	12 oktober 1746	103.950 lb.	foelij	foelij	103950	lb.	1746
6241	12 oktober 1746	1.000 lb.	peper	peper	1000	lb.	1746
6242	12 oktober 1746	1.791.087 lb.	thee	thee	1791		1746
6245	28 nov. 1676	15000 picoll	sappanhout	sappanhout	1875000	lb.	1676
6246	28 nov. 1676	50 lasten	rijs	rijst	125000	lb.	1676
6249	28 nov. 1676	7570 man	salpeter	salpeter	378500	lb.	1676
6250	28 nov. 1676	450 sacken	salpeter	salpeter	450	zakken	1676
6252	28 nov. 1676	2000 man	thin	thin	100000	lb.	1676
6260	15 aug. 1633	400 lasten	rijs	rijst	1000000	lb.	1633
6272	28 maart 1724	155 thailen	goud	goud	11.625	lb.	1724
6273	10 maart 1745	300 marcq	goud	goud	150.0	lb.	1745
6304	4 dec. 1656	6000 catty	peeper	peper	7500.0	lb.	1656
6321	29 april 1681	1000 candylen	peper	peper	500000	lb.	1681
6323	29 april 1681	750 000	peper	peper	750		1681
6324	29 april 1681	28 packen	zijde	zijde	28	pakken	1681
6325	29 april 1681	12 packen	zijde	zijde	12	pakken	1681
6328	31 dec. 1649	42 balen	sijde	sijde	8400	lb.	1649
6329	31 dec. 1649	40 752 ®	peper	peper	40		1649
6334	31 dec. 1649	1200 candy	peper	peper	600000	lb.	1649
6335	31 dec. 1649	100 bharen	indigo	indigo	50000	lb.	1649
6342	31 dec. 1649	25 240	nagelen	nagelen	25		1649
6348	31 dec. 1649	15	salpeter	salpeter	15		1649
6349	31 dec. 1649	10 kisten	silver	silver	10	kisten	1649
6357	31 dec. 1649	250 balen	rijs	rijst	50000	lb.	1649
6360	31 dec. 1649	200 lasten	rijs	rijst	500000	lb.	1649
6361	31 dec. 1649	9 kisten	silver	silver	9	kisten	1649
6363	31 dec. 1649	13 kisten	silver	silver	13	kisten	1649
6386	31 dec. 1683	40	slaven	slaven	40		1683
6388	31 dec. 1683	18	nagelen	nagelen	18		1683
6390	31 dec. 1683	800 üt 1000 lasten	salpeter	salpeter	800		1683
6396	11 jan. 1714	100 p.ls	peper	peper	12500	lb.	1714
6400	18 maart 1685	3000 p.ls	zijde	zijde	375000	lb.	1685
6405	31 december 1759	30.736 lb.	thin	thin	30736	lb.	1759
6406	31 december 1759	690.845 „	sappanhout	sappanhout	690845		1759
6422	31 december 1759	631.664 lb.	thin	thin	631664	lb.	1759
6454	31 december 1759	52.214 lb.	zijde	zijde	52214	lb.	1759
6456	31 december 1759	3.879.779 lb.	salpeter	salpeter	3879		1759
6464	31 december 1759	73 staven	goud	goud	73	staven	1759
6522	31 december 1759	40.358 „	thin	thin	40358		1759
6531	31 december 1759	59.993	thin	thin	59993		1759
6537	31 december 1759	2000 candijlen	peper	peper	1000000	lb.	1759
6543	31 december 1759	13.000	peper	peper	13000		1759
6544	31 december 1759	50.005	thin	thin	50005		1759
6548	31 december 1759	40 lb.	rijst	rijst	40	lb.	1759
6549	31 december 1759	40 lb.	rijst	rijst	40	lb.	1759
6552	31 december 1759	10.000 „	indigo	indigo	10000		1759
6554	31 december 1759	1.790.250 „	rijst	rijst	1790		1759
6559	31 december 1759	3000	koper	koper	3000		1759
6570	31 december 1759	10.000 picols	thin	thin	1250000	lb.	1759
6574	31 december 1759	234	canneel	kaneel	234		1759
6577	31 december 1759	3625	nagelen	nagelen	3625		1759
6581	31 december 1759	575 „	peper	peper	575		1759
6586	7 maart 1631	400 lasten	peper	peper	1000000	lb.	1631
6587	7 maart 1631	600 baelen	zijde	zijde	120000	lb.	1631
6591	7 maart 1631	54	slaven	slaven	54		1631
6596	7 maart 1631	100 schuyten	gout	goud	100	schuit	1631
6608	30 nov. 1694	300 carga	sijde	sijde	126900	lb.	1694
6642	19 maart 1683	1300	zijde	zijde	1300		1683
6647	19 maart 1683	150 baren	thin	thin	75000	lb.	1683
6653	19 maart 1683	600 balen	zijde	zijde	120000	lb.	1683
6656	19 maart 1683	47600 ®	salpeter	salpeter	47600		1683
6657	19 maart 1683	136 000 ®	salpeter	salpeter	136		1683
6658	19 maart 1683	108 800	salpeter	salpeter	108		1683
6659	19 maart 1683	26172	thin	thin	26172		1683
6666	19 maart 1683	1160	slaven	slaven	1160		1683
6677	31 jan. 1675	24000	rijs	rijst	24000		1675
6680	12 febr. 1685	7350 stux	koper	koper	7350	stuks	1685
6686	12 febr. 1685	130 p.18	peper	peper	16250	lb.	1685
6687	12 febr. 1685	1360 ©	nagelen	nagelen	1360		1685
6688	12 febr. 1685	1020 ©	canneel	kaneel	1020		1685
6691	12 febr. 1685	8	nagelen	nagelen	8		1685
6695	12 febr. 1685	600000 8	peper	peper	600000		1685
6697	12 febr. 1685	16000 balen	zijde	zijde	3200000	lb.	1685
6699	15 oktober 1757	1.320.000 lb.	koper	koper	1320		1757
6700	15 oktober 1757	100 lb.	zijde	zijde	100	lb.	1757
6701	15 oktober 1757	150.000 lb.	peeper	peper	150000	lb.	1757
6703	15 oktober 1757	60.000 lb.	sappanhout	sappanhout	60000	lb.	1757
6705	15 oktober 1757	1.000.000 lb.	salpeter	salpeter	1000		1757
6709	15 oktober 1757	000 lb.	peeper	peper	000	lb.	1757
6711	15 oktober 1757	000 lb.	salpeter	salpeter	000	lb.	1757
6713	15 oktober 1757	2500 lb.	nagelen	nagelen	2500	lb.	1757
6714	15 oktober 1757	en50.000 lb.	sappanhout	sappanhout	50000	lb.	1757
6718	27 febr. 1689	100 bharen	thin	thin	50000	lb.	1689
6720	27 febr. 1689	60 coyangs	rijs	rijst	97500	lb.	1689
6721	27 febr. 1689	72 bharen	thin	thin	36000	lb.	1689
6722	27 febr. 1689	1650 p.113	sappanhout	sappanhout	206250	lb.	1689
6727	31 maart 1740	125 lb.	goud	goud	125	lb.	1740
6732	31 maart 1740	13.719 lb.	nagelen	nagelen	13719	lb.	1740
6734	31 maart 1740	240 lb.	foelij	foelij	240	lb.	1740
6742	31 maart 1740	1000 lb.	salpeter	salpeter	1000	lb.	1740
6744	31 maart 1740	20.740 lb.	thee	thee	20740	lb.	1740
6745	31 maart 1740	1.373 lb.	thee	thee	1373	lb.	1740
6746	31 maart 1740	20.000 lb.	thee	thee	20000	lb.	1740
6747	31 maart 1740	37.46 1^ lb.	thee	thee	3746		1740
6749	31 maart 1740	223.750 lb.	salpeter	salpeter	223750	lb.	1740
6750	31 maart 1740	70.506 lb.	thee	thee	70506	lb.	1740
6760	31 december 1757	977 sockels	foelij	foelij	157297	lb.	1757
6764	31 december 1757	-52.000 bossen	padij	padij	52000	bossen	1757
6765	31 december 1757	220.121 lb.	thin	thin	220121	lb.	1757
6784	31 december 1757	60.000 maons	salpeter	salpeter	3000000	lb.	1757
6809	31 december 1757	4841 lb.	indigo	indigo	4841	lb.	1757
6832	31 december 1757	4.783,15,8 „	rijst	rijst	4783		1757
6834	31 december 1757	200.000 „	peper	peper	200000		1757
6835	31 december 1757	160.000 „	canneel	kaneel	160000		1757
6837	31 december 1757	.000.000 ponden	salpeter	salpeter	000000	lb.	1757
6838	31 december 1757	100 lb.	peeper	peper	100	lb.	1757
6842	31 december 1757	56 lasten	rijst	rijst	140000	lb.	1757
6843	31 december 1757	1240 bossen	padij	padij	1240	bossen	1757
6847	31 december 1757	5000	indigo	indigo	5000		1757
6848	31 december 1757	7875	peeper	peper	7875		1757
6853	31 december 1757	262.916	sappanhout	sappanhout	262916		1757
6856	31 december 1757	6932	indigo	indigo	6932		1757
6857	31 december 1757	80.137	peeper	peper	80137		1757
6864	31 december 1757	211.625	peeper	peper	211625		1757
6868	25 maart 1741	195.891 lb.	thee	thee	195891	lb.	1741
6872	25 maart 1741	48.000 lb.	thee	thee	48000	lb.	1741
6881	25 maart 1741	41	peper	peper	41		1741
6882	25 maart 1741	160	peper	peper	160		1741
6895	30 november 1730	100 gantens	rijst	rijst	1330.0	lb.	1730
6902	30 november 1730	300 thailen	goud	goud	22.5	lb.	1730
6912	30 november 1730	3080 lb	foelij	foelij	3080	lb.	1730
6913	30 november 1730	388.752 lb	peper	peper	388752	lb.	1730
6920	30 november 1730	339 lb	indigo	indigo	339	lb.	1730
6922	30 november 1730	19 stux	slaven	slaven	19	stuks	1730
6923	30 november 1730	300 lasten	rijs	rijst	750000	lb.	1730
6927	30 november 1730	1370 balen	canneel	kaneel	274000	lb.	1730
6940	30 november 1730	4004 lb	foelij	foelij	4004	lb.	1730
6949	30 november 1730	10.579.999 lb	rijst	rijst	10579		1730
6951	30 november 1730	7875 lb	indigo	indigo	7875	lb.	1730
6965	30 november 1730	9 lasten	rijs	rijst	22500	lb.	1730
6966	30 november 1730	100 lasten	rijs	rijst	250000	lb.	1730
6968	30 november 1730	10 pondenin	nagelen	nagelen	10	lb.	1730
6979	30 november 1730	17.640 picols	peper	peper	2205000	lb.	1730
6980	30 november 1730	1350 balen	canneel	kaneel	270000	lb.	1730
6995	30 november 1730	43.582	foelij	foelij	43582		1730
7000	30 november 1730	159.309 „	sappanhout	sappanhout	159309		1730
7015	31 jan. 1653	36 bharen	peper	peper	18000	lb.	1653
7019	31 jan. 1653	22 kisten	silver	silver	22	kisten	1653
7022	31 jan. 1653	250 catty	sijde	sijde	312.5	lb.	1653
7032	15 jan. 1647	220 schuyten	silver	silver	220	schuit	1647
7039	15 jan. 1647	500 lasten	peper	peper	1250000	lb.	1647
7048	8 jan. 1640	10 picols	peper	peper	1250	lb.	1640
7049	8 jan. 1640	647 last	peper	peper	1617500	lb.	1640
7054	8 jan. 1640	414 p.1 lichte	peper	peper	51750	lb.	1640
